Module	Field Identifier	Field (User Interface Label)	Field (Code Label)	Menu	NullValueMenu	Description	Examples
AMR detection information	GENEPIO:0102069	AMR analysis date	amr_analysis_date			The date the antimicrobial resistance analysis was performed.	2024-02-01
AMR detection information	GENEPIO:0101080	AMR analysis report filename	amr_analysis_report_filename			The filename of the report containing the results of an in silico antimicrobial resistance analysis.	WWAMR_report_Feb1_2024.doc
AMR detection information	GENEPIO:0101076	AMR analysis software name	amr_analysis_software_name			The name of the software used to perform an in silico antimicrobial resistance determinant identification/analysis.	Resistance Gene Identifier
AMR detection information	GENEPIO:0101077	AMR analysis software version	amr_analysis_software_version			The version number of the software used to perform an in silico antimicrobial resistance determinant identification/analysis.	6.0.3
AMR detection information	GENEPIO:0101078	AMR reference database name	amr_reference_database_name			The name of the reference database used to perform an in silico antimicrobial resistance determinant identification/analysis.	Comprehensive Antibiotic Resistance Database (CARD)
AMR detection information	GENEPIO:0101079	AMR reference database version	amr_reference_database_version			The version number of the reference database used to perform an in silico antimicrobial resistance determinant identification/analysis.	3.2.9
Antimicrobial resistance	Not Applicable	amikacin intermediate breakpoint	amikacin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	amikacin laboratory typing method	amikacin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	amikacin laboratory typing platform	amikacin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	amikacin laboratory typing platform version	amikacin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	amikacin measurement	amikacin_measurement		TRUE	The measured value of amikacin resistance.	4
Antimicrobial resistance	Not Applicable	amikacin measurement sign	amikacin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	amikacin measurement units	amikacin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	amikacin resistance phenotype	amikacin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	amikacin resistant breakpoint	amikacin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	amikacin susceptible breakpoint	amikacin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	amikacin testing standard	amikacin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	amikacin testing standard details	amikacin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	amikacin testing standard version	amikacin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	amikacin vendor name	amikacin_vendor_name	AntimicrobialVendorName	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid intermediate breakpoint	amoxicillinclavulanic_acid_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid laboratory typing method	amoxicillinclavulanic_acid_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid laboratory typing platform	amoxicillinclavulanic_acid_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid laboratory typing platform version	amoxicillinclavulanic_acid_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid measurement	amoxicillinclavulanic_acid_measurement		TRUE	The measured value of amoxicillin-clavulanic acid resistance.	4
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid measurement sign	amoxicillinclavulanic_acid_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid measurement units	amoxicillinclavulanic_acid_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid resistance phenotype	amoxicillinclavulanic_acid_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid resistant breakpoint	amoxicillinclavulanic_acid_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid susceptible breakpoint	amoxicillinclavulanic_acid_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid testing standard	amoxicillinclavulanic_acid_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid testing standard details	amoxicillinclavulanic_acid_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid testing standard version	amoxicillinclavulanic_acid_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	amoxicillin-clavulanic acid vendor name	amoxicillinclavulanic_acid_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	Not Applicable	ampicillin intermediate breakpoint	ampicillin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	ampicillin laboratory typing method	ampicillin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	ampicillin laboratory typing platform	ampicillin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	ampicillin laboratory typing platform version	ampicillin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	ampicillin measurement	ampicillin_measurement		TRUE	The measured value of ampicillin resistance.	4
Antimicrobial resistance	Not Applicable	ampicillin measurement sign	ampicillin_measurement_sign	AntimicrobialMeasurementSignMenu	TRUE	The qualifier associated with the antimicrobial resistance measurement	greater than (>) [GENEPIO:0001006]
Antimicrobial resistance	Not Applicable	ampicillin measurement units	ampicillin_measurement_units	AntimicrobialMeasurementUnitsMenu	TRUE	The units of the antimicrobial resistance measurement.	ug/mL [UO:0000274]
Antimicrobial resistance	Not Applicable	ampicillin resistance phenotype	ampicillin_resistance_phenotype	AntimicrobialPhenotypeMenu	TRUE	The antimicrobial resistance phenotype, as determined by the antibiotic susceptibility measurement and testing standard for this antibiotic	Susceptible antimicrobial phenotype [ARO:3004302]
Antimicrobial resistance	Not Applicable	ampicillin resistant breakpoint	ampicillin_resistant_breakpoint			The minimum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “resistant” to this antimicrobial.	32
Antimicrobial resistance	Not Applicable	ampicillin susceptible breakpoint	ampicillin_susceptible_breakpoint			The maximum measurement, in the units specified in the “antibiotic_measurement_units” field, for a sample to be considered “sensitive” to this antimicrobial.	8
Antimicrobial resistance	Not Applicable	ampicillin testing standard	ampicillin_testing_standard	AntimicrobialTestingStandardMenu	TRUE	The testing standard used for determination of resistance phenotype	Clinical Laboratory and Standards Institute (CLSI) [ARO:3004366]
Antimicrobial resistance	Not Applicable	ampicillin testing standard details	ampicillin_testing_standard_details			Additional details associated with the testing standard used for determination of antimicrobial resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance	Not Applicable	ampicillin testing standard version	ampicillin_testing_standard_version			The version number associated with the testing standard used for determination of antimicrobial resistance phenotype. If applicable, include a version number for the testing standard used.	M100
Antimicrobial resistance	Not Applicable	ampicillin vendor name	ampicillin_vendor_name	AntimicrobialVendorNameMenu	TRUE	The name of the vendor of the testing platform used.	Sensititre
Antimicrobial resistance	GENEPIO:0100511	AMR testing by	amr_testing_by	AmrTestingByMenu	TRUE	The name of the organization that performed the antimicrobial resistance testing.	Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552]
Antimicrobial resistance	GENEPIO:0100514	AMR testing by contact email	amr_testing_by_contact_email		TRUE	The email of the individual or the individual's role in the organization that performed the antimicrobial resistance testing.	johnnyblogs@lab.ca
Antimicrobial resistance	GENEPIO:0100513	AMR testing by contact name	amr_testing_by_contact_name		TRUE	The name of the individual or the individual's role in the organization that performed the antimicrobial resistance testing.	Enterics Lab Manager
Antimicrobial resistance	GENEPIO:0100512	AMR testing by laboratory name	amr_testing_by_laboratory_name			The name of the lab within the organization that performed the antimicrobial resistance testing.	Topp Lab
Antimicrobial resistance	GENEPIO:0100515	AMR testing date	amr_testing_date			The date the antimicrobial resistance testing was performed.	2022-04-03
Antimicrobial resistance	Not Applicable	azithromycin intermediate breakpoint	azithromycin_intermediate_breakpoint			The intermediate measurement(s), in the units specified in the “AMR_measurement_units” field, where a sample would be considered to have an “intermediate” phenotype for this antimicrobial.	16
Antimicrobial resistance	Not Applicable	azithromycin laboratory typing method	azithromycin_laboratory_typing_method	AntimicrobialLaboratoryTypingMethodMenu	TRUE	The general method used for antimicrobial susceptibility testing.	Broth dilution [ARO:3004397]
Antimicrobial resistance	Not Applicable	azithromycin laboratory typing platform	azithromycin_laboratory_typing_platform	AntimicrobialLaboratoryTypingPlatformMenu	TRUE	The brand/platform used for antimicrobial susceptibility testing.	Sensitire [ARO:3004402]
Antimicrobial resistance	Not Applicable	azithromycin laboratory typing platform version	azithromycin_laboratory_typing_platform_version			The specific name and version of the plate, panel, or other platform used for antimicrobial susceptibility testing.	CMV3AGNF
Antimicrobial resistance	Not Applicable	azithromycin measurement	azithromycin_measurement		TRUE	The measured value of azithromycin resistance.	4
